source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Jonathan Shieber,"Pearl, the healthcare spinout from LA-based AI startup, GumGum, raises $11 million","GumGum, the Los Angeles-based startup that’s spent the past decade applying machine learning technologies to advertising and sports, has spun out a new healthcare startup focused on the dental industry called Pearl. The company has raised $11 million in finan…",http://techcrunch.com/2019/05/08/pearl-the-healthcare-spinout-from-la-based-ai-startup-gumgum-raises-11-million/,https://techcrunch.com/wp-content/uploads/2016/05/chatterteeth-e1462537752395.jpg?w=515,2019-05-08T23:57:34Z,"GumGum, the Los Angeles-based startup that’s spent the past decade applying machine learning technologies to advertising and sports, has spun out a new healthcare startup focused on the dental industry called Pearl.
The company has raised $11 million in fina… [+3425 chars]"
,,,,,,,
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Anthony Ha,RedCircle’s latest feature makes it easy to tip podcast creators,"A group of former Uber employees unveiled their podcasting startup RedCircle last week, and now they’re already launching new features — specifically the ability for listeners to make small tip payments to podcasters. RedCircle has created a web-based podcast…",http://techcrunch.com/2019/05/08/redcircle-tipping/,https://techcrunch.com/wp-content/uploads/2019/02/GettyImages-10661242081.jpg?w=600,2019-05-08T21:50:02Z,"A group of former Uber employees unveiled their podcasting startup RedCircle last week, and now they’re already launching new features specifically the ability for listeners to make small tip payments to podcasters.
RedCircle has created a web-based podcast … [+1739 chars]"
,,,,,,,
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Connie Loizos,"Carta was just valued at $1.7 billion by Andreessen Horowitz, in a deal some see as rich","Carta, a seven-year-old, San Francisco-based startup, is the newest unicorn in tech. The company, which helps private and public companies, investors, and employees manage their equity and ownership, tells TechCrunch it has raised $300 million in Series E rou…",http://techcrunch.com/2019/05/06/carta-was-just-valued-at-1-7-billion-by-andreessen-horowitz-in-a-deal-some-see-as-rich/,https://techcrunch.com/wp-content/uploads/2019/05/Henry-Ward-Headshot.jpg?w=600,2019-05-06T15:00:30Z,"Carta, a seven-year-old, San Francisco-based startup, is the newest unicorn in tech. The company, which helps private and public companies, investors, and employees manage their equity and ownership, tells TechCrunch it has raised $300 million in Series E rou… [+6167 chars]"
,,,,,,,
"{'id': None, 'name': 'Blog.google'}",Sundar Pichai,Helping businesses grow across all 50 U.S. states,"Small businesses play a vital role in American life. From the restaurants that serve as places to gather over a meal, to the bookshops and hardware stores that treat customers like family and sponsor local soccer teams, small businesses are the backbone of ou…",https://www.blog.google/outreach-initiatives/small-business/economic-impact-report/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+blogspot%2FMKuf+%28The+Keyword+%7C+Official+Google+Blog%29,https://storage.googleapis.com/gweb-uniblog-publish-prod/images/Okabashi_-_EIR_Photo.max-1300x1300.jpg,2019-05-13T13:00:00Z,"Small businesses play a vital role in American life. From the restaurants that serve as places to gather over a meal, to the bookshops and hardware stores that treat customers like family and sponsor local soccer teams, small businesses are the backbone of ou… [+3621 chars]"
,,,,,,,
"{'id': 'business-insider', 'name': 'Business Insider'}",Eleni Digalaki,AI could displace banking jobs in Singapore,"This is an excerpt from a story delivered exclusively to Business Insider Intelligence Fintech Briefing subscribers. To receive the full story plus other insights each morning, click here. Forty financial services job roles in Singapore are set to be highly i…",https://www.businessinsider.com/automation-ai-analytics-could-displace-singapore-banking-jobs-2019-4,https://amp.businessinsider.com/images/5cc1b9a2b14bf4662118f47b-1920-960.jpg,2019-04-25T13:47:00Z,"Forty financial services job roles in Singapore are set to be highly impacted — either through role convergence or displacement — by robotic process automation, advanced analytics, and AI, per an Ernst &amp; Young study commissioned by the Institute of Bankin… [+2568 chars]"
,,,,,,,
"{'id': None, 'name': 'Entrepreneur.com'}",Entrepreneur Store,Build Your Own Online Store With This All-In-One eCommerce Solution,fesh. eCommerce Shop Builder allows you to set up a pro-level eCommerce environment without having to write a single line of code.,https://www.entrepreneur.com/article/333793,https://assets.entrepreneur.com/content/3x2/2000/20190515164716-sale-19316-primary-image-wide.jpeg,2019-05-17T13:30:00Z,"Disclosure: Our goal is to feature products and services that we think you'll find interesting and useful. If you purchase them, Entrepreneur may get a small share of the revenue from the sale from our commerce partners.
It should come as no surprise that if… [+1415 chars]"
,,,,,,,
"{'id': 'business-insider', 'name': 'Business Insider'}",Lisa Eadicicco,"Apple says products like the Apple Watch and Airpods are doing so well, its wearables business is as big as a Fortune 200 company (AAPL)","Apple's wearables business is now the size of a Fortune 200 company, CEO Tim Cook said on the company's earnings call. That product category includes the Apple Watch, as well as its wildly successful AirPods wireless headphones. Visit Business Insider's homep…",https://www.businessinsider.com/apple-q2-2019-earnings-apple-watch-airpods-sales-2019-4,https://amp.businessinsider.com/images/5cc8bd3ac238e91ce8431535-960-480.jpg,2019-04-30T22:08:35Z,"Apple's wearables business had a blockbuster fiscal second quarter.
 On the company's earnings call, CEO Tim Cook said Apple's wearables business is now the size of a Fortune 200 company, which he described as an ""amazing"" statistic given that the Apple Watc… [+1869 chars]"
,,,,,,,
"{'id': None, 'name': 'Hubspot.com'}",pete@pjboyle.com (Pete Boyle),The Best 14 Landing Page Builders for Any Business,"To ensure you’re able to choose the best landing page builder for your team's goals, we've cultivated a list of the 14 best.",https://blog.hubspot.com/marketing/best-landing-page-builder,https://blog.hubspot.com/hubfs/landing-page-builder.jpg#keepProtocol,2019-05-06T11:00:00Z,"Lead generation is essential for driving sales and growing an online business.
There are plenty of different methods for generating leads, but one of the most effective options is a well-designed landing page.
Building a fully-optimized landing page has nev… [+13216 chars]"
,,,,,,,
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Romain Dillet,Myneral.me wins the TechCrunch Hackathon at VivaTech,"It’s been a long night at VivaTech. The building hosted a very special competition — the TechCrunch Hackathon in Paris. Hundreds of engineers and designers got together to come up with something cool, something neat, something awesome. The only condition was …",http://techcrunch.com/2019/05/18/myneral-me-wins-the-techcrunch-hackathon-at-vivatech/,https://techcrunch.com/wp-content/uploads/2019/05/IMG_2476.jpg?w=533,2019-05-18T15:49:51Z,"Its been a long night at VivaTech. The building hosted a very special competition the TechCrunch Hackathon in Paris.
Hundreds of engineers and designers got together to come up with something cool, something neat, something awesome. The only condition was th… [+5641 chars]"
,,,,,,,
"{'id': None, 'name': 'Entrepreneur.com'}",Jonathan Long,6 Steps to Building a Successful Online Drop Shipping Business,Want to start a drop shipping business? Here's how.,https://www.entrepreneur.com/article/297744,https://assets.entrepreneur.com/content/3x2/2000/20170726171435-GettyImages-635967646.jpeg,2019-05-16T17:43:36Z,"Opinions expressed by Entrepreneur contributors are their own.
Drop shipping is an extremely popular business model for new entrepreneurs, especially gen Zers and millennials, due to internet marketing skills far outweighing financial capacity. Since you don… [+6880 chars]"
